id_product,product
1,AGUACATE
2,AGUACATE CRIOLLO
3,CAPULÍN
4,CEREZAS
5,CHABACANO
6,CHICOZAPOTE
7,CIRUELA PASA
8,DURAZNO
9,FRAMBUESA
10,FRESA
11,GARAMBULLO
12,GRANADA CHINA
13,GRANADA ROJA
14,GUANÁBANA
15,GUAYABA
16,HIGO
17,JÍCAMA
18,KIWI
19,LIMA
20,LIMÓN AGRIO
21,LIMÓN REAL
22,MANDARINA
23,MANGO
24,MANZANA
25,MARACUYÁ
26,MELÓN
27,MELÓN CHINO
28,MORA AZUL
29,NANCHE
30,NARANJA
31,NARANJA AGRIA
32,NÍSPERO
33,PAPAYA
34,PASAS
35,PERA
36,PERÓN
37,PIÑA
38,PITAJAYA
39,PLÁTANO DOMINICO
40,PLÁTANO MACHO
41,PLÁTANO MORADO
42,PLÁTANO TABASCO
43,SANDÍA
44,TAMARINDO
45,TEJOCOTE
46,TORONJA
47,TUNA
48,UVA ROJA
49,XOCONOXTLE
50,ZAPOTE BLANCO
51,ZAPOTE MAMEY
52,ZAPOTE NEGRO
53,ZARZAMORA
54,ALCACHOFA
55,ACELGA
56,APIO
57,BERROS
58,BRÓCOLI
59,BROTES DE CALABAZA
60,CALABACITA
61,CEBOLLA
62,CEBOLLA CAMBRAY
63,CEBOLLA MORADA
64,CHAYOTE
65,CHÍCHARO
66,CILANTRO
67,COL
68,COL DE BRUCELAS
69,COL MORADA
70,COLIFLOR
71,EJOTES
72,ESPÁRRAGOS
73,ESPINACAS
74,FLOR DE CALABAZA
75,FLOR DE IZOTE O YUCA
76,GERMINADO O BROTES DE ALFALFA
77,GUAJE
78,HABAS VERDES
79,HOJAS DE AMARANTO
80,HOJAS DE RÁBANO
81,HUAZONTLE
82,JITOMATE
83,LECHUGA
84,MILTOMATE
85,NOPALES
86,NOPALES TIERNOS
87,PÁPALO QUELITE
88,PEPINO
89,PEREJIL
90,PIMIENTO ROJO
91,PORO
92,QUELITES
93,RÁBANO LARGO
94,TOMATE VERDE
95,VERDOLAGA
96,CHILE SERRANO
97,AJO
98,CÚRCUMA
99,JENGIBRE
100,BETABEL
101,ZANAHORIA
102,CHAMPIÑÓN
103,CUITLACOCHE
104,AJONJOLÍ
105,ALMENDRAS
106,AVELLANA
107,CACAHUATE
108,CACAO
109,CALABAZA
110,CHÍA
111,GIRASOL
112,LINAZA
113,NUEZ
114,NUEZ DE LA INDIA
115,PIÑÓN
116,PISTACHES
117,CALABAZA DE CASTILLA
118,AMARANTO
119,AVENA
120,QUÍNOA
